Exp,Date,Forward,rf,Tenor,137.94,165.53,193.12,206.91,220.7,234.5,248.29,262.09,268.98,275.88,282.78,289.67,303.47,317.26,331.06,344.85,358.64,386.23,413.82
1M,12-Dec-22,276.92,0.0439,0.0877,138.473,111.004,83.574,69.898,56.27,42.724,29.414,16.855,11.351,6.823,3.633,1.759,0.336,0.057,0.01,0.002,0,0,0
2M,10-Jan-23,277.94,0.0455,0.1671,139.011,111.694,84.489,70.976,57.565,44.324,31.457,19.47,14.185,9.662,6.114,3.602,1.055,0.277,0.072,0.02,0.006,0.001,0
3M,10-Feb-23,279.102,0.0471,0.2521,139.636,112.511,85.589,72.279,59.138,46.261,33.878,22.425,17.317,12.802,9.028,6.073,2.431,0.888,0.321,0.121,0.048,0.009,0.002
4M,10-Mar-23,280.186,0.0482,0.3288,140.231,113.298,86.654,73.536,60.637,48.068,36.055,24.965,19.967,15.458,11.55,8.323,3.913,1.696,0.726,0.322,0.152,0.04,0.012
5M,10-Apr-23,281.409,0.0491,0.4137,140.908,114.199,87.874,74.966,62.318,50.039,38.328,27.47,22.51,17.952,13.887,10.401,5.356,2.632,1.3,0.659,0.346,0.105,0.036
6M,10-May-23,282.612,0.0498,0.4959,141.581,115.097,89.083,76.37,63.943,51.901,40.415,29.705,24.754,20.14,15.94,12.243,6.696,3.587,1.957,1.087,0.614,0.207,0.075
7M,12-Jun-23,283.949,0.0504,0.5863,142.337,116.108,90.43,77.918,65.71,53.892,42.605,32.01,27.059,22.386,18.061,14.174,8.163,4.692,2.77,1.656,0.997,0.37,0.142
8M,10-Jul-23,285.089,0.0508,0.663,142.988,116.966,91.54,79.169,67.108,55.436,44.28,33.781,28.852,24.177,19.814,15.842,9.476,5.727,3.547,2.208,1.377,0.538,0.214
9M,10-Aug-23,286.347,0.0510,0.7479,143.712,117.916,92.755,80.526,68.61,57.078,46.047,35.641,30.737,26.064,21.673,17.629,10.919,6.902,4.46,2.878,1.852,0.762,0.315
10M,11-Sep-23,287.631,0.0512,0.8356,144.458,118.891,93.99,81.898,70.119,58.717,47.801,37.475,32.591,27.92,23.502,19.393,12.377,8.12,5.436,3.62,2.396,1.036,0.445
11M,10-Oct-23,288.778,0.0512,0.9151,145.129,119.765,95.089,83.114,71.45,60.155,49.33,39.068,34.201,29.529,25.09,20.93,13.668,9.221,6.341,4.327,2.929,1.318,0.585
12M,10-Nov-23,289.985,0.0511,1,145.84,120.687,96.242,84.384,72.833,61.644,50.907,40.706,35.853,31.181,26.723,22.513,15.016,10.391,7.323,5.111,3.534,1.653,0.759
13M,11-Dec-23,291.169,0.0510,1.0849,146.543,121.595,97.369,85.622,74.176,63.084,52.428,42.281,37.442,32.769,28.291,24.039,16.332,11.548,8.311,5.916,4.169,2.02,0.956
14M,10-Jan-24,292.294,0.0508,1.1671,147.215,122.46,98.436,86.79,75.44,64.434,53.849,43.751,38.922,34.25,29.756,25.466,17.574,12.656,9.27,6.711,4.807,2.402,1.17
15M,12-Feb-24,293.507,0.0505,1.2575,147.944,123.391,99.576,88.03,76.776,65.854,55.337,45.284,40.466,35.794,31.289,26.974,18.969,13.757,10.207,7.506,5.467,2.83,1.429
16M,11-Mar-24,294.519,0.0502,1.3342,148.554,124.168,100.521,89.055,77.875,67.018,56.554,46.535,41.725,37.055,32.544,28.213,20.142,14.65,10.963,8.161,6.021,3.205,1.667
17M,10-Apr-24,295.584,0.0499,1.4164,149.2,124.986,101.513,90.128,79.023,68.233,57.82,47.835,43.035,38.366,33.848,29.501,21.369,15.596,11.773,8.867,6.625,3.623,1.941
18M,10-May-24,296.632,0.0496,1.4986,149.838,125.792,102.483,91.177,80.143,69.415,59.053,49.101,44.307,39.64,35.118,30.757,22.566,16.533,12.579,9.576,7.238,4.058,2.233
19M,10-Jun-24,297.697,0.0492,1.5836,150.488,126.61,103.466,92.237,81.273,70.606,60.292,50.372,45.587,40.922,36.394,32.019,23.775,17.486,13.41,10.312,7.879,4.521,2.551
20M,10-Jul-24,298.712,0.0489,1.6658,151.11,127.389,104.399,93.241,82.341,71.73,61.461,51.568,46.791,42.127,37.595,33.21,24.918,18.399,14.208,11.026,8.505,4.983,2.875
21M,12-Aug-24,299.811,0.0485,1.7562,151.785,128.233,105.404,94.32,83.489,72.936,62.712,52.851,48.082,43.42,38.884,34.487,26.148,19.39,15.082,11.811,9.2,5.504,3.247
22M,10-Sep-24,300.764,0.0482,1.8356,152.371,128.963,106.271,95.25,84.476,73.972,63.787,53.951,49.188,44.529,39.989,35.584,27.206,20.248,15.845,12.5,9.816,5.972,3.588
23M,10-Oct-24,301.737,0.0478,1.9178,152.97,129.706,107.153,96.194,85.476,75.021,64.873,55.063,50.307,45.649,41.106,36.692,28.277,21.127,16.628,13.214,10.454,6.465,3.952
24M,12-Nov-24,302.795,0.0474,2.0082,153.622,130.513,108.105,97.213,86.555,76.15,66.043,56.259,51.51,46.855,42.309,37.886,29.434,22.082,17.484,13.997,11.16,7.017,4.366
